,CHROM,BIN_START,BIN_END,N_VARIANTS,PI,Name
20,NC_044371.1,6220001,6230000,10,9.60E-05,Medicinal Genomics StrainSEEK V1 (n=289)
21,NC_044371.1,6260001,6270000,6,7.52E-05,Medicinal Genomics StrainSEEK V1 (n=289)
22,NC_044371.1,6360001,6370000,7,5.89E-05,Medicinal Genomics StrainSEEK V1 (n=289)
23,NC_044371.1,6420001,6430000,10,6.99E-05,Medicinal Genomics StrainSEEK V1 (n=289)
24,NC_044371.1,6560001,6570000,2,1.23E-06,Medicinal Genomics StrainSEEK V1 (n=289)
25,NC_044371.1,8340001,8350000,2,1.24E-05,Medicinal Genomics StrainSEEK V1 (n=289)
26,NC_044371.1,8360001,8370000,5,3.84E-05,Medicinal Genomics StrainSEEK V1 (n=289)
27,NC_044371.1,8470001,8480000,1,3.43E-07,Medicinal Genomics StrainSEEK V1 (n=289)
28,NC_044371.1,8620001,8630000,1,4.92E-06,Medicinal Genomics StrainSEEK V1 (n=289)
29,NC_044371.1,8720001,8730000,2,1.16E-05,Medicinal Genomics StrainSEEK V1 (n=289)
30,NC_044371.1,8970001,8980000,2,2.82E-06,Medicinal Genomics StrainSEEK V1 (n=289)
31,NC_044371.1,9050001,9060000,1,6.53E-07,Medicinal Genomics StrainSEEK V1 (n=289)
32,NC_044371.1,9190001,9200000,1,2.90E-06,Medicinal Genomics StrainSEEK V1 (n=289)
33,NC_044371.1,9410001,9420000,2,2.74E-05,Medicinal Genomics StrainSEEK V1 (n=289)
34,NC_044371.1,9560001,9570000,1,9.07E-07,Medicinal Genomics StrainSEEK V1 (n=289)
35,NC_044371.1,9650001,9660000,1,1.60E-06,Medicinal Genomics StrainSEEK V1 (n=289)
36,NC_044371.1,9980001,9990000,1,7.68E-07,Medicinal Genomics StrainSEEK V1 (n=289)
37,NC_044371.1,10000001,10010000,2,1.52E-05,Medicinal Genomics StrainSEEK V1 (n=289)
38,NC_044371.1,10110001,10120000,1,7.25E-06,Medicinal Genomics StrainSEEK V1 (n=289)
39,NC_044371.1,10290001,10300000,2,1.30E-06,Medicinal Genomics StrainSEEK V1 (n=289)
40,NC_044371.1,11440001,11450000,2,4.00E-05,Medicinal Genomics StrainSEEK V1 (n=289)
41,NC_044371.1,11700001,11710000,1,2.12E-05,Medicinal Genomics StrainSEEK V1 (n=289)
42,NC_044371.1,11730001,11740000,6,3.85E-05,Medicinal Genomics StrainSEEK V1 (n=289)
43,NC_044371.1,12010001,12020000,21,0.000131779,Medicinal Genomics StrainSEEK V1 (n=289)
44,NC_044371.1,12020001,12030000,2,1.12E-05,Medicinal Genomics StrainSEEK V1 (n=289)
45,NC_044371.1,12050001,12060000,1,1.57E-05,Medicinal Genomics StrainSEEK V1 (n=289)
46,NC_044371.1,12240001,12250000,14,7.03E-05,Medicinal Genomics StrainSEEK V1 (n=289)
47,NC_044371.1,12490001,12500000,3,5.16E-05,Medicinal Genomics StrainSEEK V1 (n=289)
48,NC_044371.1,12610001,12620000,1,2.22E-06,Medicinal Genomics StrainSEEK V1 (n=289)
49,NC_044371.1,12860001,12870000,1,2.43E-06,Medicinal Genomics StrainSEEK V1 (n=289)
50,NC_044371.1,12920001,12930000,1,2.71E-05,Medicinal Genomics StrainSEEK V1 (n=289)
51,NC_044371.1,13030001,13040000,1,1.78E-06,Medicinal Genomics StrainSEEK V1 (n=289)
52,NC_044371.1,13290001,13300000,6,4.98E-05,Medicinal Genomics StrainSEEK V1 (n=289)
53,NC_044371.1,13750001,13760000,14,0.000127104,Medicinal Genomics StrainSEEK V1 (n=289)
54,NC_044371.1,13820001,13830000,13,0.000108969,Medicinal Genomics StrainSEEK V1 (n=289)
55,NC_044371.1,13930001,13940000,6,2.99E-05,Medicinal Genomics StrainSEEK V1 (n=289)
56,NC_044371.1,14040001,14050000,3,1.96E-06,Medicinal Genomics StrainSEEK V1 (n=289)
57,NC_044371.1,14490001,14500000,7,5.78E-05,Medicinal Genomics StrainSEEK V1 (n=289)
58,NC_044371.1,14800001,14810000,2,2.23E-06,Medicinal Genomics StrainSEEK V1 (n=289)
59,NC_044371.1,15040001,15050000,1,2.26E-05,Medicinal Genomics StrainSEEK V1 (n=289)
60,NC_044371.1,15090001,15100000,4,3.20E-05,Medicinal Genomics StrainSEEK V1 (n=289)
61,NC_044371.1,15320001,15330000,13,4.80E-05,Medicinal Genomics StrainSEEK V1 (n=289)
62,NC_044371.1,15590001,15600000,2,1.87E-05,Medicinal Genomics StrainSEEK V1 (n=289)
63,NC_044371.1,15720001,15730000,4,2.90E-05,Medicinal Genomics StrainSEEK V1 (n=289)
64,NC_044371.1,16420001,16430000,6,1.62E-05,Medicinal Genomics StrainSEEK V1 (n=289)
65,NC_044371.1,16490001,16500000,7,4.03E-05,Medicinal Genomics StrainSEEK V1 (n=289)
66,NC_044371.1,17580001,17590000,5,9.10E-05,Medicinal Genomics StrainSEEK V1 (n=289)
67,NC_044371.1,17730001,17740000,1,1.33E-05,Medicinal Genomics StrainSEEK V1 (n=289)
68,NC_044371.1,18860001,18870000,1,1.67E-06,Medicinal Genomics StrainSEEK V1 (n=289)
69,NC_044371.1,19030001,19040000,2,1.24E-06,Medicinal Genomics StrainSEEK V1 (n=289)
70,NC_044371.1,19140001,19150000,2,1.96E-06,Medicinal Genomics StrainSEEK V1 (n=289)
71,NC_044371.1,19190001,19200000,1,8.38E-06,Medicinal Genomics StrainSEEK V1 (n=289)
72,NC_044371.1,19730001,19740000,10,9.93E-05,Medicinal Genomics StrainSEEK V1 (n=289)
73,NC_044371.1,19770001,19780000,18,8.12E-05,Medicinal Genomics StrainSEEK V1 (n=289)
74,NC_044371.1,19790001,19800000,5,7.72E-05,Medicinal Genomics StrainSEEK V1 (n=289)
75,NC_044371.1,19880001,19890000,15,0.00014223,Medicinal Genomics StrainSEEK V1 (n=289)
76,NC_044371.1,20060001,20070000,1,1.97E-05,Medicinal Genomics StrainSEEK V1 (n=289)
77,NC_044371.1,20590001,20600000,21,5.77E-05,Medicinal Genomics StrainSEEK V1 (n=289)
78,NC_044371.1,20930001,20940000,7,8.56E-06,Medicinal Genomics StrainSEEK V1 (n=289)
79,NC_044371.1,20950001,20960000,1,6.48E-07,Medicinal Genomics StrainSEEK V1 (n=289)
80,NC_044371.1,21460001,21470000,5,7.05E-05,Medicinal Genomics StrainSEEK V1 (n=289)
81,NC_044371.1,21480001,21490000,4,4.28E-05,Medicinal Genomics StrainSEEK V1 (n=289)
82,NC_044371.1,21980001,21990000,6,0.000108072,Medicinal Genomics StrainSEEK V1 (n=289)
83,NC_044371.1,22340001,22350000,12,1.14E-05,Medicinal Genomics StrainSEEK V1 (n=289)
84,NC_044371.1,22350001,22360000,3,6.63E-05,Medicinal Genomics StrainSEEK V1 (n=289)
85,NC_044371.1,22680001,22690000,6,3.65E-05,Medicinal Genomics StrainSEEK V1 (n=289)
86,NC_044371.1,22710001,22720000,3,7.54E-05,Medicinal Genomics StrainSEEK V1 (n=289)
87,NC_044371.1,22720001,22730000,13,5.09E-05,Medicinal Genomics StrainSEEK V1 (n=289)
88,NC_044371.1,23050001,23060000,4,8.14E-06,Medicinal Genomics StrainSEEK V1 (n=289)
89,NC_044371.1,23090001,23100000,1,1.66E-06,Medicinal Genomics StrainSEEK V1 (n=289)
90,NC_044371.1,23550001,23560000,3,5.44E-06,Medicinal Genomics StrainSEEK V1 (n=289)
91,NC_044371.1,23790001,23800000,45,0.000464368,Medicinal Genomics StrainSEEK V1 (n=289)
92,NC_044371.1,24210001,24220000,1,9.03E-07,Medicinal Genomics StrainSEEK V1 (n=289)
93,NC_044371.1,24560001,24570000,1,7.37E-06,Medicinal Genomics StrainSEEK V1 (n=289)
94,NC_044371.1,24680001,24690000,1,1.38E-06,Medicinal Genomics StrainSEEK V1 (n=289)
95,NC_044371.1,24690001,24700000,4,5.77E-06,Medicinal Genomics StrainSEEK V1 (n=289)
96,NC_044371.1,24700001,24710000,1,2.13E-05,Medicinal Genomics StrainSEEK V1 (n=289)
97,NC_044371.1,24750001,24760000,7,3.01E-05,Medicinal Genomics StrainSEEK V1 (n=289)
98,NC_044371.1,24790001,24800000,3,1.60E-06,Medicinal Genomics StrainSEEK V1 (n=289)
99,NC_044371.1,24970001,24980000,7,8.92E-05,Medicinal Genomics StrainSEEK V1 (n=289)
100,NC_044371.1,25060001,25070000,3,1.19E-05,Medicinal Genomics StrainSEEK V1 (n=289)
101,NC_044371.1,25220001,25230000,1,2.05E-05,Medicinal Genomics StrainSEEK V1 (n=289)
102,NC_044371.1,25270001,25280000,1,2.19E-05,Medicinal Genomics StrainSEEK V1 (n=289)
103,NC_044371.1,25510001,25520000,3,2.18E-05,Medicinal Genomics StrainSEEK V1 (n=289)
104,NC_044371.1,25730001,25740000,13,2.15E-05,Medicinal Genomics StrainSEEK V1 (n=289)
105,NC_044371.1,25880001,25890000,4,3.46E-05,Medicinal Genomics StrainSEEK V1 (n=289)
106,NC_044371.1,25940001,25950000,2,3.15E-06,Medicinal Genomics StrainSEEK V1 (n=289)
107,NC_044371.1,26050001,26060000,3,3.18E-05,Medicinal Genomics StrainSEEK V1 (n=289)
108,NC_044371.1,26950001,26960000,1,1.81E-05,Medicinal Genomics StrainSEEK V1 (n=289)
109,NC_044371.1,26970001,26980000,2,3.00E-05,Medicinal Genomics StrainSEEK V1 (n=289)
110,NC_044371.1,26990001,27000000,1,5.03E-06,Medicinal Genomics StrainSEEK V1 (n=289)
111,NC_044371.1,27000001,27010000,5,4.39E-06,Medicinal Genomics StrainSEEK V1 (n=289)
112,NC_044371.1,27170001,27180000,3,2.97E-05,Medicinal Genomics StrainSEEK V1 (n=289)
113,NC_044371.1,27440001,27450000,1,8.35E-06,Medicinal Genomics StrainSEEK V1 (n=289)
114,NC_044371.1,27820001,27830000,2,1.18E-06,Medicinal Genomics StrainSEEK V1 (n=289)
115,NC_044371.1,27840001,27850000,4,2.81E-05,Medicinal Genomics StrainSEEK V1 (n=289)
116,NC_044371.1,27980001,27990000,2,4.48E-05,Medicinal Genomics StrainSEEK V1 (n=289)
117,NC_044371.1,28030001,28040000,9,2.73E-05,Medicinal Genomics StrainSEEK V1 (n=289)
118,NC_044371.1,28050001,28060000,6,2.21E-05,Medicinal Genomics StrainSEEK V1 (n=289)
119,NC_044371.1,28090001,28100000,2,2.04E-05,Medicinal Genomics StrainSEEK V1 (n=289)
120,NC_044371.1,28300001,28310000,3,2.44E-06,Medicinal Genomics StrainSEEK V1 (n=289)
121,NC_044371.1,28470001,28480000,1,9.60E-07,Medicinal Genomics StrainSEEK V1 (n=289)
122,NC_044371.1,30910001,30920000,9,4.07E-05,Medicinal Genomics StrainSEEK V1 (n=289)
123,NC_044371.1,30960001,30970000,2,6.77E-06,Medicinal Genomics StrainSEEK V1 (n=289)
124,NC_044371.1,31690001,31700000,5,3.94E-05,Medicinal Genomics StrainSEEK V1 (n=289)
125,NC_044371.1,32550001,32560000,1,7.75E-07,Medicinal Genomics StrainSEEK V1 (n=289)
126,NC_044371.1,33190001,33200000,1,1.22E-05,Medicinal Genomics StrainSEEK V1 (n=289)
127,NC_044371.1,36330001,36340000,6,3.97E-06,Medicinal Genomics StrainSEEK V1 (n=289)
128,NC_044371.1,36420001,36430000,5,4.62E-06,Medicinal Genomics StrainSEEK V1 (n=289)
129,NC_044371.1,37480001,37490000,1,7.62E-06,Medicinal Genomics StrainSEEK V1 (n=289)
130,NC_044371.1,38170001,38180000,3,3.66E-06,Medicinal Genomics StrainSEEK V1 (n=289)
131,NC_044371.1,38350001,38360000,2,1.26E-06,Medicinal Genomics StrainSEEK V1 (n=289)
132,NC_044371.1,38370001,38380000,1,1.66E-06,Medicinal Genomics StrainSEEK V1 (n=289)
133,NC_044371.1,38460001,38470000,3,3.80E-06,Medicinal Genomics StrainSEEK V1 (n=289)
134,NC_044371.1,38790001,38800000,4,3.15E-05,Medicinal Genomics StrainSEEK V1 (n=289)
135,NC_044371.1,38960001,38970000,6,1.71E-05,Medicinal Genomics StrainSEEK V1 (n=289)
136,NC_044371.1,38980001,38990000,9,1.08E-05,Medicinal Genomics StrainSEEK V1 (n=289)
137,NC_044371.1,38990001,39000000,9,1.75E-05,Medicinal Genomics StrainSEEK V1 (n=289)
138,NC_044371.1,39110001,39120000,2,2.62E-05,Medicinal Genomics StrainSEEK V1 (n=289)
139,NC_044371.1,39260001,39270000,4,3.47E-05,Medicinal Genomics StrainSEEK V1 (n=289)
140,NC_044371.1,41450001,41460000,5,8.25E-05,Medicinal Genomics StrainSEEK V1 (n=289)
141,NC_044371.1,42130001,42140000,2,8.40E-06,Medicinal Genomics StrainSEEK V1 (n=289)
142,NC_044371.1,42290001,42300000,3,6.08E-05,Medicinal Genomics StrainSEEK V1 (n=289)
143,NC_044371.1,42570001,42580000,3,4.36E-06,Medicinal Genomics StrainSEEK V1 (n=289)
144,NC_044371.1,43140001,43150000,2,6.95E-06,Medicinal Genomics StrainSEEK V1 (n=289)
145,NC_044371.1,43620001,43630000,1,8.61E-07,Medicinal Genomics StrainSEEK V1 (n=289)
146,NC_044371.1,43670001,43680000,1,8.19E-07,Medicinal Genomics StrainSEEK V1 (n=289)
147,NC_044371.1,43730001,43740000,4,5.28E-06,Medicinal Genomics StrainSEEK V1 (n=289)
148,NC_044371.1,43760001,43770000,3,2.55E-05,Medicinal Genomics StrainSEEK V1 (n=289)
149,NC_044371.1,43980001,43990000,1,5.34E-07,Medicinal Genomics StrainSEEK V1 (n=289)
150,NC_044371.1,44040001,44050000,1,2.13E-06,Medicinal Genomics StrainSEEK V1 (n=289)
151,NC_044371.1,44100001,44110000,2,4.02E-06,Medicinal Genomics StrainSEEK V1 (n=289)
152,NC_044371.1,44270001,44280000,10,0.000113034,Medicinal Genomics StrainSEEK V1 (n=289)
153,NC_044371.1,44490001,44500000,6,1.72E-05,Medicinal Genomics StrainSEEK V1 (n=289)
154,NC_044371.1,44510001,44520000,3,1.64E-05,Medicinal Genomics StrainSEEK V1 (n=289)
155,NC_044371.1,44990001,45000000,5,2.91E-06,Medicinal Genomics StrainSEEK V1 (n=289)
156,NC_044371.1,45180001,45190000,4,1.75E-05,Medicinal Genomics StrainSEEK V1 (n=289)
157,NC_044371.1,45300001,45310000,3,2.14E-05,Medicinal Genomics StrainSEEK V1 (n=289)
158,NC_044371.1,45340001,45350000,1,1.78E-06,Medicinal Genomics StrainSEEK V1 (n=289)
159,NC_044371.1,45410001,45420000,2,2.12E-05,Medicinal Genomics StrainSEEK V1 (n=289)
160,NC_044371.1,45510001,45520000,2,1.44E-05,Medicinal Genomics StrainSEEK V1 (n=289)
161,NC_044371.1,46030001,46040000,3,3.06E-05,Medicinal Genomics StrainSEEK V1 (n=289)
162,NC_044371.1,46560001,46570000,3,3.20E-05,Medicinal Genomics StrainSEEK V1 (n=289)
163,NC_044371.1,46800001,46810000,4,1.92E-06,Medicinal Genomics StrainSEEK V1 (n=289)
164,NC_044371.1,46970001,46980000,1,1.05E-06,Medicinal Genomics StrainSEEK V1 (n=289)
165,NC_044371.1,47010001,47020000,3,1.65E-05,Medicinal Genomics StrainSEEK V1 (n=289)
166,NC_044371.1,47290001,47300000,3,1.57E-05,Medicinal Genomics StrainSEEK V1 (n=289)
167,NC_044371.1,47310001,47320000,1,6.14E-07,Medicinal Genomics StrainSEEK V1 (n=289)
168,NC_044371.1,48320001,48330000,2,1.87E-05,Medicinal Genomics StrainSEEK V1 (n=289)
169,NC_044371.1,49010001,49020000,10,9.33E-05,Medicinal Genomics StrainSEEK V1 (n=289)
170,NC_044371.1,49080001,49090000,4,4.36E-05,Medicinal Genomics StrainSEEK V1 (n=289)
171,NC_044371.1,50120001,50130000,6,1.26E-05,Medicinal Genomics StrainSEEK V1 (n=289)
172,NC_044371.1,50170001,50180000,6,8.52E-06,Medicinal Genomics StrainSEEK V1 (n=289)
173,NC_044371.1,51110001,51120000,4,2.74E-05,Medicinal Genomics StrainSEEK V1 (n=289)
174,NC_044371.1,51710001,51720000,2,2.35E-06,Medicinal Genomics StrainSEEK V1 (n=289)
175,NC_044371.1,51720001,51730000,1,6.14E-07,Medicinal Genomics StrainSEEK V1 (n=289)
176,NC_044371.1,51750001,51760000,1,4.37E-07,Medicinal Genomics StrainSEEK V1 (n=289)
177,NC_044371.1,51770001,51780000,1,2.36E-05,Medicinal Genomics StrainSEEK V1 (n=289)
178,NC_044371.1,51780001,51790000,1,5.34E-07,Medicinal Genomics StrainSEEK V1 (n=289)
179,NC_044371.1,51820001,51830000,3,4.20E-06,Medicinal Genomics StrainSEEK V1 (n=289)
180,NC_044371.1,51880001,51890000,1,1.61E-06,Medicinal Genomics StrainSEEK V1 (n=289)
181,NC_044371.1,52560001,52570000,4,4.60E-06,Medicinal Genomics StrainSEEK V1 (n=289)
182,NC_044371.1,53960001,53970000,6,1.58E-05,Medicinal Genomics StrainSEEK V1 (n=289)
183,NC_044371.1,54410001,54420000,9,3.04E-05,Medicinal Genomics StrainSEEK V1 (n=289)
184,NC_044371.1,54780001,54790000,7,4.00E-05,Medicinal Genomics StrainSEEK V1 (n=289)
185,NC_044371.1,54930001,54940000,5,1.81E-05,Medicinal Genomics StrainSEEK V1 (n=289)
186,NC_044371.1,55140001,55150000,6,8.74E-06,Medicinal Genomics StrainSEEK V1 (n=289)
187,NC_044371.1,55190001,55200000,4,3.22E-06,Medicinal Genomics StrainSEEK V1 (n=289)
188,NC_044371.1,55590001,55600000,4,1.00E-05,Medicinal Genomics StrainSEEK V1 (n=289)
189,NC_044371.1,55830001,55840000,1,1.08E-05,Medicinal Genomics StrainSEEK V1 (n=289)
190,NC_044371.1,55850001,55860000,7,3.93E-05,Medicinal Genomics StrainSEEK V1 (n=289)
191,NC_044371.1,55890001,55900000,9,2.66E-05,Medicinal Genomics StrainSEEK V1 (n=289)
192,NC_044371.1,55970001,55980000,1,2.51E-06,Medicinal Genomics StrainSEEK V1 (n=289)
193,NC_044371.1,57590001,57600000,1,1.01E-06,Medicinal Genomics StrainSEEK V1 (n=289)
194,NC_044371.1,57770001,57780000,1,1.19E-05,Medicinal Genomics StrainSEEK V1 (n=289)
195,NC_044371.1,57950001,57960000,7,1.06E-05,Medicinal Genomics StrainSEEK V1 (n=289)
196,NC_044371.1,58260001,58270000,2,6.29E-06,Medicinal Genomics StrainSEEK V1 (n=289)
197,NC_044371.1,58900001,58910000,4,3.92E-05,Medicinal Genomics StrainSEEK V1 (n=289)
198,NC_044371.1,59100001,59110000,2,2.81E-06,Medicinal Genomics StrainSEEK V1 (n=289)
199,NC_044371.1,61340001,61350000,4,2.83E-05,Medicinal Genomics StrainSEEK V1 (n=289)
200,NC_044371.1,61870001,61880000,1,6.93E-07,Medicinal Genomics StrainSEEK V1 (n=289)
201,NC_044371.1,61920001,61930000,2,2.47E-05,Medicinal Genomics StrainSEEK V1 (n=289)
202,NC_044371.1,62010001,62020000,14,0.000110729,Medicinal Genomics StrainSEEK V1 (n=289)
203,NC_044371.1,62280001,62290000,4,3.14E-05,Medicinal Genomics StrainSEEK V1 (n=289)
204,NC_044371.1,62310001,62320000,4,3.80E-06,Medicinal Genomics StrainSEEK V1 (n=289)
205,NC_044371.1,62450001,62460000,18,1.31E-05,Medicinal Genomics StrainSEEK V1 (n=289)
206,NC_044371.1,62800001,62810000,5,1.51E-05,Medicinal Genomics StrainSEEK V1 (n=289)
207,NC_044371.1,62840001,62850000,11,3.94E-05,Medicinal Genomics StrainSEEK V1 (n=289)
208,NC_044371.1,64340001,64350000,14,0.000207836,Medicinal Genomics StrainSEEK V1 (n=289)
209,NC_044371.1,64450001,64460000,5,6.99E-05,Medicinal Genomics StrainSEEK V1 (n=289)
210,NC_044371.1,64590001,64600000,1,2.01E-05,Medicinal Genomics StrainSEEK V1 (n=289)
211,NC_044371.1,64600001,64610000,6,0.000125519,Medicinal Genomics StrainSEEK V1 (n=289)
212,NC_044371.1,65000001,65010000,6,2.73E-05,Medicinal Genomics StrainSEEK V1 (n=289)
213,NC_044371.1,65100001,65110000,4,1.76E-05,Medicinal Genomics StrainSEEK V1 (n=289)
214,NC_044371.1,65110001,65120000,10,8.62E-05,Medicinal Genomics StrainSEEK V1 (n=289)
215,NC_044371.1,65120001,65130000,5,1.85E-05,Medicinal Genomics StrainSEEK V1 (n=289)
216,NC_044371.1,65130001,65140000,1,3.28E-06,Medicinal Genomics StrainSEEK V1 (n=289)
217,NC_044371.1,65230001,65240000,4,8.45E-05,Medicinal Genomics StrainSEEK V1 (n=289)
218,NC_044371.1,65260001,65270000,1,2.69E-06,Medicinal Genomics StrainSEEK V1 (n=289)
219,NC_044371.1,65300001,65310000,1,4.37E-07,Medicinal Genomics StrainSEEK V1 (n=289)
220,NC_044371.1,65350001,65360000,4,5.54E-05,Medicinal Genomics StrainSEEK V1 (n=289)
221,NC_044371.1,65560001,65570000,1,1.08E-05,Medicinal Genomics StrainSEEK V1 (n=289)
222,NC_044371.1,65750001,65760000,3,1.21E-05,Medicinal Genomics StrainSEEK V1 (n=289)
223,NC_044371.1,66030001,66040000,5,0.000120493,Medicinal Genomics StrainSEEK V1 (n=289)
224,NC_044371.1,66200001,66210000,4,7.88E-06,Medicinal Genomics StrainSEEK V1 (n=289)
225,NC_044371.1,66270001,66280000,1,5.34E-07,Medicinal Genomics StrainSEEK V1 (n=289)
226,NC_044371.1,66300001,66310000,6,5.37E-05,Medicinal Genomics StrainSEEK V1 (n=289)
227,NC_044371.1,66370001,66380000,1,9.03E-07,Medicinal Genomics StrainSEEK V1 (n=289)
228,NC_044371.1,66900001,66910000,15,1.90E-05,Medicinal Genomics StrainSEEK V1 (n=289)
229,NC_044371.1,66920001,66930000,1,1.16E-06,Medicinal Genomics StrainSEEK V1 (n=289)
230,NC_044371.1,66970001,66980000,2,6.60E-06,Medicinal Genomics StrainSEEK V1 (n=289)
231,NC_044371.1,67180001,67190000,1,1.26E-06,Medicinal Genomics StrainSEEK V1 (n=289)
232,NC_044371.1,67500001,67510000,9,2.86E-05,Medicinal Genomics StrainSEEK V1 (n=289)
233,NC_044371.1,67670001,67680000,5,9.35E-06,Medicinal Genomics StrainSEEK V1 (n=289)
234,NC_044371.1,67960001,67970000,1,1.84E-05,Medicinal Genomics StrainSEEK V1 (n=289)
235,NC_044371.1,68000001,68010000,4,9.51E-05,Medicinal Genomics StrainSEEK V1 (n=289)
236,NC_044371.1,68050001,68060000,3,4.32E-05,Medicinal Genomics StrainSEEK V1 (n=289)
237,NC_044371.1,68170001,68180000,3,3.72E-05,Medicinal Genomics StrainSEEK V1 (n=289)
238,NC_044371.1,68340001,68350000,3,3.74E-05,Medicinal Genomics StrainSEEK V1 (n=289)
239,NC_044371.1,68540001,68550000,1,1.79E-06,Medicinal Genomics StrainSEEK V1 (n=289)
240,NC_044371.1,69860001,69870000,1,4.99E-07,Medicinal Genomics StrainSEEK V1 (n=289)
241,NC_044371.1,70680001,70690000,2,2.43E-05,Medicinal Genomics StrainSEEK V1 (n=289)
242,NC_044371.1,70760001,70770000,1,2.33E-05,Medicinal Genomics StrainSEEK V1 (n=289)
243,NC_044371.1,70840001,70850000,5,5.49E-06,Medicinal Genomics StrainSEEK V1 (n=289)
244,NC_044371.1,71040001,71050000,2,3.17E-05,Medicinal Genomics StrainSEEK V1 (n=289)
245,NC_044371.1,71270001,71280000,2,2.38E-05,Medicinal Genomics StrainSEEK V1 (n=289)
246,NC_044371.1,73550001,73560000,16,4.38E-05,Medicinal Genomics StrainSEEK V1 (n=289)
247,NC_044371.1,74200001,74210000,5,5.03E-05,Medicinal Genomics StrainSEEK V1 (n=289)
248,NC_044371.1,74360001,74370000,9,5.77E-05,Medicinal Genomics StrainSEEK V1 (n=289)
249,NC_044371.1,74760001,74770000,6,4.15E-05,Medicinal Genomics StrainSEEK V1 (n=289)
250,NC_044371.1,74830001,74840000,1,6.76E-06,Medicinal Genomics StrainSEEK V1 (n=289)
251,NC_044371.1,74930001,74940000,3,7.08E-05,Medicinal Genomics StrainSEEK V1 (n=289)
252,NC_044371.1,75500001,75510000,6,8.75E-06,Medicinal Genomics StrainSEEK V1 (n=289)
253,NC_044371.1,75940001,75950000,1,5.34E-07,Medicinal Genomics StrainSEEK V1 (n=289)
254,NC_044371.1,75970001,75980000,4,1.87E-05,Medicinal Genomics StrainSEEK V1 (n=289)
255,NC_044371.1,76170001,76180000,5,0.000104561,Medicinal Genomics StrainSEEK V1 (n=289)
256,NC_044371.1,76200001,76210000,5,7.61E-06,Medicinal Genomics StrainSEEK V1 (n=289)
257,NC_044371.1,76420001,76430000,1,6.14E-07,Medicinal Genomics StrainSEEK V1 (n=289)
258,NC_044371.1,76530001,76540000,1,1.18E-05,Medicinal Genomics StrainSEEK V1 (n=289)
259,NC_044371.1,76540001,76550000,10,0.00021954,Medicinal Genomics StrainSEEK V1 (n=289)
260,NC_044371.1,77650001,77660000,7,3.96E-05,Medicinal Genomics StrainSEEK V1 (n=289)
261,NC_044371.1,78240001,78250000,2,5.09E-05,Medicinal Genomics StrainSEEK V1 (n=289)
262,NC_044371.1,78440001,78450000,2,9.21E-06,Medicinal Genomics StrainSEEK V1 (n=289)
263,NC_044371.1,78450001,78460000,7,3.44E-05,Medicinal Genomics StrainSEEK V1 (n=289)
264,NC_044371.1,79600001,79610000,2,3.14E-05,Medicinal Genomics StrainSEEK V1 (n=289)
265,NC_044371.1,79680001,79690000,1,9.99E-06,Medicinal Genomics StrainSEEK V1 (n=289)
266,NC_044371.1,79710001,79720000,3,2.62E-06,Medicinal Genomics StrainSEEK V1 (n=289)
267,NC_044371.1,79980001,79990000,3,3.37E-05,Medicinal Genomics StrainSEEK V1 (n=289)
268,NC_044371.1,80730001,80740000,6,6.25E-05,Medicinal Genomics StrainSEEK V1 (n=289)
